,Name,Age,90s,Gls/90,Ast/90,PK/90,Non PK Gls/90,Yellow Cards/90,Red Cards/90,xG/90,non PK xG/90,xA/90,Shots/90,Shots on Target/90,Free Kicks/90,Pass Cmp/90,Pass Cmp Pctg,Short Pass Cmp/90,Short Pass Cmp Pctg,Medium Pass Cmp/90,Medium Pass Cmp Pctg,Long Pass Cmp/90,Long Pass Cmp Pctg,Attacking Passes/90,Successful Box Crosses/90,Progressing Passes/90,Through Balls/90,Passes under pressure/90,Switches/90,Crosses/90,Bad Passes/90,SCA/90,GCA/90,Tkl Won/90,Tkl Success Rate,Tkl vs Dribbles/90,Tkl vs. dribbles Success Rate,Successful Presses/90,Press Success Rate,Blocks/90,Int/90,Clearances/90,Errors/90,Touches/90,Mid 3rd Touches/90,Att 3rd Touchs/90,Att Pen Touches/90,Successful Dribbles/90,Dribble Success Rate,Carries/90,Progressive Carries/90,Attacking Carries/90,Bad Dribbles /90,Rec/90,Rec Success Rate,Fouls Committed/90,Fouls drawn/90,PKs won/90,PKs conceded/90,Loose Balls Recov/90,Aerial Battles Won/90,Aerial Battle Success Rate,Position Group,Position Subgroup,Club Tier,European
400,Mauro Icardi,29,23.0,0.4782608695652174,0.13043478260869565,0.043478260869565216,0.43478260869565216,0.08695652173913043,0.0,0.6217391304347827,0.40869565217391307,0.15347826086956523,2.782608695652174,0.9565217391304348,0.0,11.304347826086957,81.25,6.695652173913044,87.00564971751412,3.0869565217391304,77.17391304347827,0.5652173913043478,81.25,1.826086956521739,0.0,0.6521739130434783,0.13043478260869565,2.8260869565217392,0.13043478260869565,0.21739130434782608,1.0,1.8695652173913044,0.43478260869565216,0.21739130434782608,55.55555555555556,0.17391304347826086,25.0,3.391304347826087,22.478386167146976,0.34782608695652173,0.5652173913043478,0.6086956521739131,0.0,21.82608695652174,8.652173913043478,12.347826086956522,5.782608695652174,0.21739130434782608,55.55555555555556,11.695652173913043,0.6086956521739131,0.2608695652173913,2.347826086956522,14.826086956521738,49.70845481049563,1.0,0.9565217391304348,0.08695652173913043,0.0,2.782608695652174,0.8695652173913043,45.45454545454545,Attacker,Central Attacker,6,0
401,Wissam Ben Yedder,31,46.2,0.7359307359307359,0.23809523809523808,0.3463203463203463,0.3896103896103896,0.08658008658008658,0.0,0.525974025974026,0.2878787878787879,0.1487012987012987,2.142857142857143,0.7792207792207791,0.12987012987012986,21.08225108225108,73.89984825493171,11.45021645021645,78.72023809523809,7.359307359307359,78.3410138248848,1.406926406926407,58.03571428571429,3.9177489177489173,0.04329004329004329,2.3376623376623376,0.30303030303030304,6.883116883116883,0.3246753246753247,0.7359307359307359,2.727272727272727,2.792207792207792,0.47619047619047616,0.47619047619047616,64.70588235294117,0.1948051948051948,30.0,3.9610389610389607,30.14827018121911,0.6277056277056277,0.3463203463203463,0.12987012987012986,0.0,38.896103896103895,16.99134199134199,22.294372294372295,6.385281385281385,1.1688311688311688,53.46534653465347,25.952380952380953,3.7878787878787876,2.251082251082251,3.8528138528138527,29.177489177489175,58.25410544511668,0.5627705627705627,1.3636363636363635,0.06493506493506493,0.0,4.329004329004329,1.0822510822510822,26.31578947368421,Attacker,Central Attacker,4,1
402,Jeremy Doku,19,30.1,0.09966777408637874,0.13289036544850497,0.0,0.09966777408637874,0.06644518272425248,0.03322259136212624,0.1495016611295681,0.16279069767441862,0.12890365448504984,1.3289036544850499,0.2990033222591362,0.0,29.601328903654483,80.63348416289593,16.611295681063122,85.03401360544217,10.498338870431894,83.5978835978836,1.760797342192691,67.94871794871796,5.21594684385382,0.5980066445182723,3.8538205980066444,0.16611295681063123,7.209302325581395,0.5980066445182723,2.7574750830564785,4.119601328903654,3.6212624584717608,0.39867109634551495,1.2956810631229236,70.9090909090909,0.5647840531561461,38.63636363636363,5.415282392026578,30.69679849340866,0.6644518272425249,0.5647840531561461,0.19933554817275748,0.0,52.22591362126246,21.92691029900332,31.196013289036543,5.149501661129568,3.6877076411960132,58.730158730158735,47.40863787375415,11.129568106312291,4.385382059800664,6.046511627906977,40.66445182724252,77.37041719342605,1.4617940199335548,2.857142857142857,0.0,0.0,6.81063122923588,0.33222591362126247,33.33333333333333,Attacker,Winger,3,1
403,Kevin Volland,29,47.7,0.440251572327044,0.25157232704402516,0.020964360587002094,0.4192872117400419,0.20964360587002095,0.0,0.3081761006289308,0.2746331236897275,0.13626834381551362,1.9496855345911948,0.9433962264150942,0.06289308176100629,17.92452830188679,68.84057971014492,9.287211740041927,76.64359861591696,5.618448637316561,70.15706806282722,1.9287211740041927,60.526315789473685,3.8784067085953877,0.12578616352201258,2.20125786163522,0.23060796645702306,7.568134171907756,0.27253668763102723,0.9433962264150942,3.4591194968553456,2.222222222222222,0.4821802935010482,0.880503144654088,70.0,0.27253668763102723,20.967741935483872,4.884696016771488,28.311057108140947,0.7337526205450733,0.25157232704402516,0.18867924528301885,0.020964360587002094,36.60377358490566,18.0083857442348,17.48427672955975,4.926624737945493,0.670859538784067,48.484848484848484,23.836477987421382,2.641509433962264,1.4255765199161425,4.318658280922431,28.197064989517816,59.99107939339875,2.033542976939203,1.3626834381551363,0.06289308176100629,0.0,4.549266247379455,1.8029350104821802,41.74757281553398,Attacker,Central Attacker,4,1
404,Jonathan Bamba,25,49.7,0.12072434607645875,0.20120724346076457,0.0,0.12072434607645875,0.060362173038229376,0.0,0.12072434607645875,0.1227364185110664,0.10462776659959756,1.6901408450704225,0.5633802816901408,0.04024144869215292,37.84708249496982,78.14707104279186,20.482897384305833,87.91018998272885,12.43460764587525,82.62032085561498,3.682092555331992,50.83333333333333,6.217303822937625,0.36217303822937624,3.5814889336016096,0.18108651911468812,7.344064386317907,1.9517102615694164,1.891348088531187,4.386317907444668,3.380281690140845,0.38229376257545267,0.8651911468812877,72.88135593220339,0.36217303822937624,18.181818181818183,3.9839034205231387,29.819277108433734,1.1468812877263581,1.1066398390342052,0.36217303822937624,0.0,61.64989939637827,31.52917505030181,28.551307847082494,2.7967806841046277,1.5492957746478873,45.83333333333333,45.69416498993964,7.10261569416499,3.0181086519114686,4.989939637826962,44.90945674044265,81.16363636363636,0.744466800804829,2.1730382293762576,0.02012072434607646,0.0,7.605633802816901,0.44265593561368205,30.136986301369863,Attacker,Winger,3,1
405,Sofiane Diop,21,41.2,0.31553398058252424,0.0970873786407767,0.0,0.31553398058252424,0.21844660194174756,0.0,0.23300970873786409,0.16747572815533981,0.06262135922330096,1.8446601941747571,0.703883495145631,0.07281553398058252,33.90776699029126,76.63192539769611,16.699029126213592,85.57213930348259,12.111650485436892,81.0064935064935,3.786407766990291,55.91397849462365,5.485436893203883,0.24271844660194172,4.223300970873786,0.14563106796116504,8.398058252427184,1.529126213592233,1.4805825242718447,4.077669902912621,3.203883495145631,0.41262135922330095,1.4563106796116503,61.855670103092784,0.6553398058252426,29.03225806451613,6.16504854368932,29.296424452133795,1.2864077669902911,1.0679611650485437,0.3398058252427184,0.0,57.49999999999999,29.927184466019416,24.757281553398055,3.5679611650485437,1.966019417475728,60.902255639097746,41.140776699029125,6.067961165048543,3.058252427184466,4.344660194174757,40.703883495145625,79.59183673469387,1.407766990291262,2.4514563106796117,0.024271844660194174,0.0,8.276699029126213,0.9223300970873786,40.86021505376344,Attacker,Winger,4,1
406,Julian Draxler,28,17.700000000000003,0.33898305084745756,0.22598870056497172,0.0,0.33898305084745756,0.16949152542372878,0.0,0.20338983050847456,0.20903954802259886,0.1717514124293785,1.1864406779661014,0.45197740112994345,0.0,45.593220338983045,88.00436205016358,23.954802259887003,91.37931034482759,16.55367231638418,89.05775075987842,4.0677966101694905,75.0,6.666666666666665,0.16949152542372878,3.841807909604519,0.22598870056497172,9.661016949152541,1.4124293785310733,1.4689265536723162,2.8248587570621466,3.3898305084745757,0.5084745762711863,0.6214689265536723,64.70588235294117,0.33898305084745756,23.076923076923077,2.655367231638418,26.704545454545453,0.6214689265536723,1.1299435028248586,0.39548022598870053,0.0,59.54802259887005,32.3728813559322,26.158192090395477,3.7288135593220333,1.8079096045197738,64.0,48.02259887005649,7.570621468926553,3.898305084745762,1.9774011299435026,49.20903954802259,88.4263959390863,0.9039548022598869,0.8474576271186439,0.0,0.0,4.802259887005649,0.45197740112994345,53.333333333333336,Attacker,Winger,6,1
407,Kamaldeen Sulemana,20,11.3,0.35398230088495575,0.17699115044247787,0.0,0.35398230088495575,0.2654867256637168,0.0,0.23008849557522124,0.1238938053097345,0.020353982300884955,2.3008849557522124,0.7079646017699115,0.0,25.398230088495573,79.72222222222223,11.415929203539822,85.43046357615894,9.380530973451327,86.88524590163934,4.070796460176991,69.6969696969697,4.95575221238938,0.6194690265486725,3.0973451327433628,0.08849557522123894,5.221238938053097,2.47787610619469,2.654867256637168,3.5398230088495573,3.893805309734513,0.35398230088495575,1.6814159292035398,67.85714285714286,0.7079646017699115,42.10526315789473,5.044247787610619,31.843575418994412,0.7079646017699115,0.7079646017699115,0.2654867256637168,0.0,47.16814159292035,21.946902654867255,26.017699115044245,5.044247787610619,4.513274336283185,55.434782608695656,43.451327433628315,8.31858407079646,4.336283185840708,5.132743362831858,36.19469026548672,79.26356589147287,1.6814159292035398,1.8584070796460175,0.0,0.0,5.575221238938052,0.6194690265486725,58.333333333333336,Attacker,Winger,3,0
408,Kasper Dolberg,24,33.099999999999994,0.36253776435045326,0.09063444108761332,0.12084592145015108,0.24169184290030216,0.06042296072507554,0.0,0.3534743202416919,0.19335347432024175,0.048036253776435056,1.9335347432024172,0.906344410876133,0.03021148036253777,11.691842900302117,75.73385518590999,6.525679758308158,79.70479704797047,3.8972809667673722,76.33136094674556,0.7250755287009065,70.58823529411765,1.5105740181268885,0.0,0.6344410876132932,0.0,4.320241691842901,0.15105740181268884,0.15105740181268884,1.450151057401813,1.3293051359516619,0.18126888217522663,0.27190332326283995,60.0,0.12084592145015108,17.391304347826086,3.4743202416918435,25.274725274725274,0.9667673716012086,0.3021148036253777,1.0876132930513598,0.03021148036253777,27.311178247734144,14.048338368580064,11.570996978851966,3.5951661631419944,0.7552870090634443,53.191489361702125,16.555891238670696,1.6314199395770395,0.906344410876133,4.47129909365559,18.94259818731118,52.911392405063296,1.3595166163141996,2.2054380664652573,0.0,0.0,3.0815709969788525,1.2386706948640485,44.565217391304344,Attacker,Central Attacker,3,1
409,Gelson Martins,26,33.8,0.1775147928994083,0.1183431952662722,0.0,0.1775147928994083,0.1183431952662722,0.0,0.1804733727810651,0.14201183431952666,0.08905325443786982,1.4497041420118344,0.6213017751479291,0.0,27.89940828402367,80.6672369546621,16.272189349112427,87.44038155802862,9.467455621301776,81.84143222506394,1.153846153846154,60.0,3.2248520710059174,0.3254437869822486,2.1893491124260356,0.0,7.159763313609468,0.26627218934911245,1.5088757396449706,2.899408284023669,2.27810650887574,0.3550295857988166,1.3313609467455623,57.692307692307686,0.7396449704142013,28.735632183908045,6.183431952662723,31.101190476190478,1.272189349112426,1.0059171597633136,0.2366863905325444,0.0,50.02958579881657,21.86390532544379,27.15976331360947,5.4142011834319534,2.4556213017751483,55.70469798657718,41.12426035502959,7.041420118343196,2.781065088757397,5.739644970414202,36.44970414201184,71.3375796178344,1.3609467455621302,1.9822485207100593,0.0591715976331361,0.0,7.218934911242604,0.7396449704142013,32.89473684210527,Attacker,Winger,4,1
410,Gaëtan Laborde,27,40.0,0.475,0.2,0.0,0.475,0.1,0.0,0.3375,0.305,0.1345,2.85,1.175,0.0,16.85,66.46942800788955,9.15,74.2393509127789,6.15,69.88636363636364,0.85,42.5,2.825,0.15,2.0,0.075,7.3,0.425,1.475,2.8,2.15,0.425,0.85,60.71428571428571,0.55,26.82926829268293,3.4,24.02826855123675,1.125,0.5,0.9,0.0,37.75,17.925,17.8,5.65,0.925,56.060606060606055,20.975,4.225,2.275,4.15,26.7,62.56590509666081,1.8,0.925,0.0,0.0,5.825,3.6,50.70422535211267,Attacker,Central Attacker,3,1
411,Cengiz Ünder,24,19.6,0.3571428571428571,0.1530612244897959,0.0,0.3571428571428571,0.1020408163265306,0.0510204081632653,0.23469387755102036,0.15816326530612243,0.10510204081632653,2.9081632653061225,0.9183673469387754,0.0510204081632653,29.54081632653061,73.38403041825094,15.663265306122447,85.0415512465374,9.89795918367347,76.37795275590551,3.4183673469387754,52.75590551181102,5.153061224489796,0.6122448979591836,3.724489795918367,0.0510204081632653,5.612244897959183,1.7346938775510203,3.265306122448979,4.336734693877551,3.775510204081632,0.25510204081632654,0.4591836734693877,56.25,0.3061224489795918,28.57142857142857,2.704081632653061,28.342245989304814,1.0714285714285714,0.9183673469387754,0.3061224489795918,0.0,52.70408163265306,18.21428571428571,33.77551020408163,5.459183673469387,1.4795918367346939,52.72727272727272,41.0204081632653,7.959183673469387,3.724489795918367,3.9795918367346936,41.12244897959183,79.96031746031747,0.3571428571428571,1.5816326530612244,0.0,0.0,4.489795918367347,0.4591836734693877,50.0,Attacker,Winger,3,0
412,Arkadiusz Milik,27,23.5,0.5957446808510638,0.0425531914893617,0.1276595744680851,0.46808510638297873,0.0851063829787234,0.0,0.574468085106383,0.3234042553191489,0.07276595744680851,3.404255319148936,1.4042553191489362,0.0851063829787234,17.70212765957447,76.61141804788214,9.404255319148936,81.25,5.531914893617022,79.75460122699386,1.148936170212766,75.0,2.127659574468085,0.0425531914893617,1.1063829787234043,0.0851063829787234,5.574468085106383,0.5106382978723404,0.2978723404255319,2.6808510638297873,1.7872340425531914,0.2978723404255319,0.5531914893617021,56.52173913043478,0.2978723404255319,25.925925925925924,4.212765957446808,30.0,0.46808510638297873,0.3829787234042553,0.723404255319149,0.0,33.659574468085104,15.319148936170214,17.48936170212766,5.829787234042553,0.425531914893617,50.0,19.829787234042552,2.0851063829787235,0.9361702127659575,3.3617021276595747,25.659574468085108,55.018248175182485,1.3191489361702127,1.4042553191489362,0.0,0.0,2.5106382978723403,1.872340425531915,46.808510638297875,Attacker,Central Attacker,3,1
